Age,Gender,Race,Marital Status,Education Level,Years of Experience,Skills Score,Culture Fit Score,Job Role Applied For,Hiring Decision
56,Prefer not to say,Black,Married,Master's,1,6,10,Sales,Hired
46,Prefer not to say,Hispanic,Single,Bachelor's,0,2,10,Sales,Not Hired
32,Male,Other,Single,Master's,0,4,9,Management,Not Hired
60,Female,Black,Single,Bachelor's,37,1,9,Engineer,Hired
25,Female,Hispanic,Divorced,Bachelor's,6,7,1,Management,Not Hired
38,Male,Other,Divorced,High School,23,8,8,Marketing,Hired
56,Non-Binary,Other,Divorced,Master's,4,10,9,Sales,Hired
36,Prefer not to say,White,Married,High School,20,2,5,Sales,Not Hired
40,Non-Binary,Black,Divorced,High School,27,10,4,HR,Hired
28,Female,Other,Divorced,Master's,17,5,10,HR,Hired
28,Female,Prefer not to say,Married,Master's,23,8,4,Management,Not Hired
41,Non-Binary,Other,Married,PhD,31,8,2,Engineer,Hired
53,Male,Hispanic,Single,Bachelor's,32,5,9,Marketing,Hired
57,Non-Binary,White,Married,PhD,9,8,5,Management,Not Hired
41,Non-Binary,Asian,Married,Bachelor's,8,6,3,Sales,Not Hired
20,Prefer not to say,White,Divorced,Bachelor's,32,5,6,Sales,Hired
39,Prefer not to say,Asian,Single,Bachelor's,32,4,9,Sales,Hired
19,Non-Binary,Black,Single,High School,6,5,9,Marketing,Not Hired
41,Non-Binary,Black,Married,High School,3,4,5,Management,Not Hired
61,Female,Other,Divorced,Master's,27,1,8,Marketing,Hired
47,Prefer not to say,Prefer not to say,Divorced,Bachelor's,22,3,4,Sales,Not Hired
55,Prefer not to say,Black,Divorced,Bachelor's,31,8,5,HR,Hired
19,Female,Other,Divorced,Bachelor's,15,7,7,Management,Not Hired
38,Male,White,Married,High School,9,7,7,HR,Hired
50,Prefer not to say,Black,Divorced,Master's,13,3,7,Management,Not Hired
29,Prefer not to say,White,Single,High School,38,9,8,Sales,Hired
39,Male,White,Single,PhD,35,6,5,HR,Hired
61,Prefer not to say,Prefer not to say,Married,PhD,33,8,1,HR,Not Hired
42,Prefer not to say,Black,Divorced,PhD,23,8,9,Management,Hired
44,Male,White,Divorced,Master's,17,3,9,HR,Hired
59,Male,Prefer not to say,Divorced,PhD,15,4,7,HR,Hired
45,Non-Binary,Prefer not to say,Divorced,Master's,40,6,6,Sales,Hired
33,Female,Black,Married,High School,36,2,5,Management,Not Hired
32,Female,Prefer not to say,Divorced,High School,40,7,5,Management,Hired
64,Male,Black,Married,Master's,24,2,3,Engineer,Not Hired
61,Male,Black,Divorced,High School,7,5,10,Management,Hired
20,Prefer not to say,Asian,Divorced,High School,23,4,1,Sales,Not Hired
54,Non-Binary,White,Single,Master's,19,9,6,HR,Hired
24,Non-Binary,Hispanic,Married,PhD,29,2,8,Engineer,Hired
38,Male,Black,Single,Master's,19,7,2,HR,Not Hired
26,Prefer not to say,White,Married,Bachelor's,17,7,8,Management,Hired
56,Prefer not to say,Prefer not to say,Divorced,High School,3,7,8,Marketing,Not Hired
35,Female,Other,Divorced,Master's,35,1,10,HR,Hired
21,Female,Black,Married,High School,5,8,8,Management,Not Hired
42,Prefer not to say,Prefer not to say,Single,PhD,2,2,10,Sales,Not Hired
31,Female,Prefer not to say,Married,High School,17,5,3,Management,Not Hired
26,Male,Prefer not to say,Married,Master's,39,2,10,Engineer,Hired
43,Prefer not to say,Prefer not to say,Divorced,PhD,17,5,8,Marketing,Hired
19,Female,Prefer not to say,Single,PhD,22,7,4,Marketing,Not Hired
37,Non-Binary,Black,Married,PhD,34,6,3,Marketing,Hired
45,Prefer not to say,Hispanic,Single,Bachelor's,5,5,9,Sales,Not Hired
64,Prefer not to say,Asian,Single,Master's,25,4,8,Marketing,Hired
24,Non-Binary,Prefer not to say,Married,Master's,20,8,10,HR,Hired
61,Male,Prefer not to say,Single,PhD,23,8,2,Sales,Hired
25,Non-Binary,Asian,Divorced,High School,14,1,8,Management,Not Hired
64,Prefer not to say,Black,Divorced,PhD,26,10,3,Engineer,Hired
52,Male,White,Divorced,Bachelor's,31,2,10,Sales,Hired
31,Female,Other,Divorced,PhD,11,3,6,Engineer,Not Hired
34,Female,Other,Single,Master's,4,1,5,Sales,Not Hired
53,Female,White,Divorced,PhD,6,3,8,Management,Hired
57,Prefer not to say,Black,Married,High School,21,10,9,Engineer,Hired
21,Non-Binary,Other,Divorced,Master's,26,8,7,Sales,Hired
19,Male,Asian,Married,High School,14,4,6,Engineer,Not Hired
23,Female,White,Married,PhD,38,7,6,Marketing,Hired
59,Male,Hispanic,Divorced,Master's,34,7,1,Marketing,Not Hired
21,Prefer not to say,Black,Divorced,Bachelor's,25,5,5,Marketing,Hired
46,Female,White,Single,Master's,22,1,8,HR,Not Hired
35,Prefer not to say,Other,Married,High School,12,10,6,Marketing,Hired
43,Non-Binary,Black,Divorced,Master's,25,4,1,Marketing,Not Hired
61,Prefer not to say,Asian,Single,Bachelor's,2,7,5,Management,Not Hired
51,Prefer not to say,Black,Divorced,Bachelor's,28,5,5,Engineer,Hired
27,Non-Binary,Black,Divorced,Bachelor's,1,2,3,Engineer,Not Hired
53,Male,Asian,Divorced,Bachelor's,27,8,8,Marketing,Hired
31,Non-Binary,Prefer not to say,Married,High School,22,2,9,Engineer,Not Hired
48,Non-Binary,Asian,Divorced,Master's,35,8,6,Sales,Hired
65,Prefer not to say,Black,Single,PhD,5,2,6,Marketing,Not Hired
32,Male,Asian,Divorced,Bachelor's,10,5,2,Marketing,Not Hired
25,Female,Prefer not to say,Divorced,PhD,37,4,10,HR,Hired
31,Non-Binary,White,Single,PhD,33,1,2,Sales,Hired
40,Male,Asian,Single,Master's,16,8,6,Marketing,Hired
57,Non-Binary,Asian,Married,PhD,2,10,8,Marketing,Hired
38,Non-Binary,Black,Married,PhD,33,3,2,Engineer,Hired
33,Non-Binary,White,Married,High School,21,4,9,Marketing,Not Hired
62,Non-Binary,Hispanic,Married,PhD,28,4,9,Marketing,Hired
35,Prefer not to say,Hispanic,Single,Master's,28,5,4,Marketing,Not Hired
64,Male,Other,Divorced,PhD,4,3,4,Marketing,Not Hired
41,Male,Asian,Divorced,Master's,9,9,4,HR,Hired
43,Male,Asian,Divorced,Bachelor's,9,4,5,Sales,Not Hired
42,Non-Binary,White,Married,PhD,8,10,8,HR,Hired
62,Prefer not to say,Prefer not to say,Single,PhD,20,4,2,Engineer,Not Hired
58,Non-Binary,Hispanic,Single,PhD,12,6,5,Management,Not Hired
46,Non-Binary,Other,Single,Bachelor's,9,8,2,Marketing,Not Hired
32,Male,White,Divorced,High School,37,7,8,Engineer,Hired
62,Non-Binary,Asian,Married,PhD,10,4,1,Management,Not Hired
18,Female,Hispanic,Single,Master's,3,4,7,Marketing,Not Hired
42,Non-Binary,Other,Married,High School,30,5,3,Marketing,Not Hired
24,Female,Black,Single,High School,33,10,4,Management,Hired
26,Non-Binary,Hispanic,Married,High School,34,5,8,HR,Hired
41,Prefer not to say,Other,Single,PhD,38,1,3,Management,Not Hired
18,Prefer not to say,White,Married,Bachelor's,38,8,7,Management,Hired
61,Male,Black,Single,Bachelor's,32,10,1,Sales,Hired
25,Non-Binary,Other,Single,PhD,7,5,9,Marketing,Not Hired
41,Female,Other,Married,Master's,31,3,6,Marketing,Hired
28,Female,Asian,Married,Master's,32,3,3,HR,Not Hired
34,Non-Binary,Prefer not to say,Divorced,Master's,7,4,7,HR,Not Hired
25,Female,Hispanic,Married,PhD,13,7,5,Sales,Not Hired
52,Prefer not to say,Asian,Single,Bachelor's,33,5,8,Sales,Hired
52,Female,Black,Single,PhD,7,1,8,Sales,Not Hired
50,Male,Prefer not to say,Married,Bachelor's,6,5,9,HR,Hired
22,Prefer not to say,Other,Divorced,High School,12,5,6,Management,Not Hired
59,Prefer not to say,Asian,Married,PhD,20,6,4,Marketing,Not Hired
56,Prefer not to say,Prefer not to say,Single,Bachelor's,31,7,2,Marketing,Not Hired
58,Non-Binary,Hispanic,Single,High School,10,5,3,Engineer,Not Hired
45,Non-Binary,Black,Divorced,High School,13,2,5,HR,Not Hired
24,Prefer not to say,White,Married,PhD,10,2,8,HR,Not Hired
26,Non-Binary,Asian,Single,Bachelor's,1,4,10,Sales,Not Hired
25,Female,Black,Single,High School,33,1,2,Engineer,Not Hired
29,Non-Binary,White,Single,PhD,16,7,5,Engineer,Not Hired
51,Non-Binary,Asian,Married,High School,13,1,9,HR,Hired
50,Prefer not to say,Black,Married,Master's,24,3,2,Sales,Not Hired
65,Male,Black,Divorced,PhD,26,10,8,Marketing,Hired
40,Male,Prefer not to say,Single,High School,7,7,3,Sales,Not Hired
41,Male,Asian,Single,PhD,16,6,8,Marketing,Not Hired
54,Female,Black,Divorced,PhD,4,7,4,HR,Not Hired
52,Non-Binary,Other,Single,Bachelor's,11,5,4,Sales,Hired
61,Male,Asian,Divorced,Bachelor's,37,8,7,Engineer,Hired
57,Prefer not to say,Black,Divorced,High School,17,6,5,Management,Not Hired
39,Male,Prefer not to say,Single,PhD,25,4,4,Engineer,Not Hired
44,Male,White,Married,PhD,30,1,7,Marketing,Hired
52,Non-Binary,White,Married,Master's,36,2,3,HR,Hired
18,Non-Binary,Other,Married,PhD,5,6,9,Sales,Hired
52,Non-Binary,Asian,Married,Bachelor's,40,4,5,HR,Hired
54,Female,Prefer not to say,Single,PhD,14,3,3,HR,Not Hired
64,Female,Black,Divorced,Bachelor's,25,7,2,Marketing,Hired
31,Male,Black,Divorced,Master's,11,7,7,HR,Not Hired
20,Non-Binary,White,Single,High School,40,2,7,Sales,Not Hired
18,Male,Prefer not to say,Married,Bachelor's,13,8,5,Engineer,Hired
