Age,Income,Employment Duration,Debt,Credit Score,Number of Dependents,Marital Status,Loan Amount Requested,Loan Duration,Loan Approval
56,5251,18,2379,794,3,Single,8255,8,1
46,13180,7,5426,792,4,Single,9486,7,1
32,17140,2,8352,468,3,Divorced,2566,27,0
60,1922,24,1425,830,3,Married,10511,38,0
25,8957,4,3661,635,4,Single,14870,48,1
38,16796,39,8469,812,2,Divorced,9062,26,0
56,2230,18,9748,429,1,Single,3038,11,0
36,11627,17,7040,838,3,Single,4407,45,0
40,11006,30,4592,813,0,Divorced,7460,12,1
28,5933,32,7530,549,4,Divorced,10746,11,0
28,15295,17,3107,437,5,Divorced,3096,55,0
41,17377,38,302,574,2,Divorced,13158,49,1
53,1203,15,4533,763,3,Divorced,10380,13,0
57,17544,15,2773,440,5,Divorced,13544,29,0
41,16899,37,7199,555,2,Married,3821,32,1
20,4748,40,4281,755,4,Divorced,9830,58,0
39,7718,6,4768,733,5,Married,8220,56,0
19,19965,13,1000,472,0,Single,14148,33,0
41,2093,24,1718,772,3,Single,3121,10,0
61,16228,31,7169,722,3,Divorced,11420,24,1
47,17034,37,7361,738,5,Single,9857,14,1
55,6710,21,3830,356,2,Divorced,10200,30,0
19,10732,15,7154,797,4,Divorced,14249,49,0
38,4191,28,5020,468,1,Married,4341,52,0
50,19221,15,2882,727,3,Single,14923,60,1
29,1689,11,998,718,0,Divorced,5058,50,0
39,3103,16,284,646,3,Single,13268,18,1
61,1365,36,8612,816,3,Married,5418,58,0
42,15010,26,2160,754,1,Single,9215,58,1
44,12767,24,3065,501,1,Married,10950,42,1
59,17103,12,1494,478,4,Married,4839,7,0
45,13742,7,4623,356,3,Married,738,56,0
33,13391,4,2543,800,3,Divorced,1720,45,1
32,5172,11,4800,411,2,Divorced,1268,19,0
64,16623,40,8913,447,2,Single,8926,36,0
61,3378,2,1401,677,5,Divorced,6830,11,1
20,18589,34,445,647,5,Divorced,11452,30,1
54,13031,32,4522,657,0,Single,7888,44,1
24,6669,21,3767,355,0,Married,5092,51,0
38,3735,8,2551,615,2,Married,10211,36,0
26,10867,40,5646,484,5,Single,10595,43,0
56,9490,17,3888,353,0,Divorced,10926,21,0
35,1956,28,4816,336,3,Single,8117,32,0
21,10306,38,2731,569,5,Single,8582,35,1
42,7623,26,7699,807,1,Divorced,8079,9,0
31,15908,35,2629,527,5,Single,14422,44,1
26,18858,16,7687,727,3,Divorced,9627,21,1
43,5460,33,1057,300,2,Divorced,9960,41,0
19,14986,2,6834,322,4,Single,6956,12,0
37,13638,4,8949,802,4,Married,9510,26,0
45,3850,13,1795,747,2,Divorced,12259,7,1
64,14299,2,9835,795,3,Married,4617,60,0
24,11698,22,4849,724,0,Divorced,10807,13,1
61,5594,38,8215,317,5,Married,2939,47,0
25,15282,29,9431,744,5,Single,12079,32,0
64,17285,22,4150,338,0,Divorced,9780,7,0
52,15334,26,9496,509,4,Single,10519,11,0
31,7644,9,6947,510,2,Single,6586,9,0
34,3850,24,6470,580,2,Single,5324,26,0
53,15933,12,7179,432,1,Divorced,11280,6,0
57,1165,15,3712,748,4,Single,11307,43,0
21,11701,40,5458,563,2,Single,10565,17,1
19,1919,33,5315,410,1,Divorced,12999,32,0
23,9305,36,5381,537,0,Single,10465,19,0
59,18375,21,9497,756,4,Divorced,8891,20,0
21,16715,16,3174,815,4,Single,13774,29,1
46,4839,22,6387,472,2,Married,8869,23,0
35,18642,35,8973,492,2,Single,6042,22,0
43,12618,8,6767,814,3,Married,9622,14,0
61,14519,1,566,708,0,Divorced,12428,52,1
51,11776,31,4622,383,0,Married,2536,23,0
27,1067,21,4132,379,5,Divorced,10177,58,0
53,10788,12,8830,508,1,Single,2591,23,0
31,6660,7,6995,821,1,Married,6050,10,0
48,5478,0,4167,498,3,Single,4763,53,0
65,9210,16,2670,533,5,Married,6930,14,1
32,11922,11,9364,543,0,Divorced,2884,59,0
25,4521,3,9912,692,1,Divorced,12780,40,0
31,1572,12,8296,745,0,Divorced,13373,49,0
40,8082,30,1682,692,0,Divorced,10607,51,1
57,6395,40,9054,308,5,Single,6826,6,0
38,16407,6,8490,452,1,Single,8707,46,0
33,19642,22,770,409,2,Single,8163,14,0
62,12094,23,9654,565,2,Single,14391,37,0
35,1650,4,3854,672,5,Single,11626,25,0
